1591898229.0,'Thu Jun 11 17:57:09 2020','outdoor_11june/eggtart/exp1_904.750M_2020-06-11_17-57-09.000.dat'
1591898229.0,'Thu Jun 11 17:57:09 2020','outdoor_11june/bananacream/exp1_904.750M_2020-06-11_17-57-09.000.dat'
1591898257.0,'Thu Jun 11 17:57:37 2020','outdoor_11june/eggtart/exp1_433.750M_2020-06-11_17-57-37.000.dat'
1591898257.0,'Thu Jun 11 17:57:37 2020','outdoor_11june/bananacream/exp1_433.750M_2020-06-11_17-57-37.000.dat'
1591898732.0,'Thu Jun 11 18:05:32 2020','outdoor_11june/eggtart/exp1_904.750M_2020-06-11_18-05-32.000.dat'
1591898732.0,'Thu Jun 11 18:05:32 2020','outdoor_11june/bananacream/exp1_904.750M_2020-06-11_18-05-32.000.dat'
1591898742.0,'Thu Jun 11 18:05:42 2020','outdoor_11june/eggtart/exp1_433.750M_2020-06-11_18-05-42.000.dat'
1591898742.0,'Thu Jun 11 18:05:42 2020','outdoor_11june/bananacream/exp1_433.750M_2020-06-11_18-05-42.000.dat'
1591899068.0,'Thu Jun 11 18:11:08 2020','outdoor_11june/eggtart/exp1_904.750M_2020-06-11_18-11-08.000.dat'
1591899068.0,'Thu Jun 11 18:11:08 2020','outdoor_11june/bananacream/exp1_904.750M_2020-06-11_18-11-08.000.dat'
1591899078.0,'Thu Jun 11 18:11:18 2020','outdoor_11june/eggtart/exp1_433.750M_2020-06-11_18-11-18.000.dat'
1591899078.0,'Thu Jun 11 18:11:18 2020','outdoor_11june/bananacream/exp1_433.750M_2020-06-11_18-11-18.000.dat'
1591900010.0,'Thu Jun 11 18:26:50 2020','outdoor_11june/eggtart/exp1_904.750M_2020-06-11_18-26-50.000.dat'
1591900010.0,'Thu Jun 11 18:26:50 2020','outdoor_11june/bananacream/exp1_904.750M_2020-06-11_18-26-50.000.dat'
1591900020.0,'Thu Jun 11 18:27:00 2020','outdoor_11june/eggtart/exp1_433.750M_2020-06-11_18-27-00.000.dat'
1591900020.0,'Thu Jun 11 18:27:00 2020','outdoor_11june/bananacream/exp1_433.750M_2020-06-11_18-27-00.000.dat'
1591900701.0,'Thu Jun 11 18:38:21 2020','40.44367,-79.94724'
1591900701.0,'Thu Jun 11 18:38:21 2020','40.44367,-79.94724'
1591900701.0,'Thu Jun 11 18:38:21 2020','40.44367,-79.94724'
1591900771.0,'Thu Jun 11 18:39:31 2020','outdoor_11june/eggtart/exp1_904.750M_2020-06-11_18-39-31.000.dat'
1591900771.0,'Thu Jun 11 18:39:31 2020','outdoor_11june/bananacream/exp1_904.750M_2020-06-11_18-39-31.000.dat'
1591900781.0,'Thu Jun 11 18:39:41 2020','outdoor_11june/eggtart/exp1_433.750M_2020-06-11_18-39-41.000.dat'
1591900781.0,'Thu Jun 11 18:39:41 2020','outdoor_11june/bananacream/exp1_433.750M_2020-06-11_18-39-41.000.dat'
1591900829.0,'Thu Jun 11 18:40:29 2020','40.44292,-79.94728'
1591900848.0,'Thu Jun 11 18:40:48 2020','outdoor_11june/eggtart/exp1_904.750M_2020-06-11_18-40-48.000.dat'
1591900848.0,'Thu Jun 11 18:40:48 2020','outdoor_11june/bananacream/exp1_904.750M_2020-06-11_18-40-48.000.dat'
1591900858.0,'Thu Jun 11 18:40:58 2020','outdoor_11june/eggtart/exp1_433.750M_2020-06-11_18-40-58.000.dat'
1591900858.0,'Thu Jun 11 18:40:58 2020','outdoor_11june/bananacream/exp1_433.750M_2020-06-11_18-40-58.000.dat'
1591900912.0,'Thu Jun 11 18:41:52 2020','40.44233,-79.94867'
1591900933.0,'Thu Jun 11 18:42:13 2020','outdoor_11june/eggtart/exp1_904.750M_2020-06-11_18-42-13.000.dat'
1591900933.0,'Thu Jun 11 18:42:13 2020','outdoor_11june/bananacream/exp1_904.750M_2020-06-11_18-42-13.000.dat'
1591900943.0,'Thu Jun 11 18:42:23 2020','outdoor_11june/eggtart/exp1_433.750M_2020-06-11_18-42-23.000.dat'
1591900943.0,'Thu Jun 11 18:42:23 2020','outdoor_11june/bananacream/exp1_433.750M_2020-06-11_18-42-23.000.dat'
1591901011.0,'Thu Jun 11 18:43:31 2020','40.44239,-79.94807'
1591901029.0,'Thu Jun 11 18:43:49 2020','outdoor_11june/eggtart/exp1_904.750M_2020-06-11_18-43-49.000.dat'
1591901029.0,'Thu Jun 11 18:43:49 2020','outdoor_11june/bananacream/exp1_904.750M_2020-06-11_18-43-49.000.dat'
1591901039.0,'Thu Jun 11 18:43:59 2020','outdoor_11june/eggtart/exp1_433.750M_2020-06-11_18-43-59.000.dat'
1591901039.0,'Thu Jun 11 18:43:59 2020','outdoor_11june/bananacream/exp1_433.750M_2020-06-11_18-43-59.000.dat'
1591901083.0,'Thu Jun 11 18:44:43 2020','40.44239,-79.94809'
1591901100.0,'Thu Jun 11 18:45:00 2020','outdoor_11june/eggtart/exp1_904.750M_2020-06-11_18-45-00.000.dat'
1591901100.0,'Thu Jun 11 18:45:00 2020','outdoor_11june/bananacream/exp1_904.750M_2020-06-11_18-45-00.000.dat'
1591901110.0,'Thu Jun 11 18:45:10 2020','outdoor_11june/eggtart/exp1_433.750M_2020-06-11_18-45-10.000.dat'
1591901110.0,'Thu Jun 11 18:45:10 2020','outdoor_11june/bananacream/exp1_433.750M_2020-06-11_18-45-10.000.dat'
1591901163.0,'Thu Jun 11 18:46:03 2020','40.44212,-79.94816'
1591901181.0,'Thu Jun 11 18:46:21 2020','outdoor_11june/eggtart/exp1_904.750M_2020-06-11_18-46-21.000.dat'
